제목,저자_상세,초록,키워드_상세,저자,저널명,발행기관,권,호,시작페이지,종료페이지,발행년도,주제분야,인용횟수,논문ID
사회과학 연구데이터 큐레이션의 문제점과 유형화 - 리포지토리의 데이터 품질 평가를 중심으로 -,김석호; 김혜진; 박석훈; 신지민; 허혜옥,"이 연구는 리포지토리의 데이터 큐레이션 과정 중 데이터 품질 평가 및 선별 단계에 집중하여 기탁된 연구데이터에서 발견되는 문제점들을 분석하고 유형화하였다. 연구데이터의 가치 제고와 재이용 활성화를 위한 데이터 큐레이션의 중요성이 강조되고 있으나, 리포지토리의 큐레이션 작업에 대한 실증적 연구는 부족하다. 이 연구에서는 해외 리포지토리 가이드라인을 검토하여 품질 평가 유형 및 문항을 제시하고, 이를 바탕으로 한국사회과학자료원의 장기 미구축 데이터세트 166건을 분석하였다. 분석 결과, 데이터세트 완결성, 데이터 무결성, 파일 형식, 데이터 문서화, 법적․윤리적 문제 등 다섯 가지 유형 중 데이터세트 완결성과 법적․윤리적 문제가 가장 빈번하게 발생하면서도 리포지토리가 단독으로 해결하기 어려운 문제로 나타났다. 이 연구는 기탁된 데이터를 평가 및 선별할 때 식별되는 문제 유형을 구체적인 기준을 통해 분석하여 리포지토리의 데이터 큐레이션 과정을 이해하는 데 기여한다는 점에서 의의가 있다.",데이터 큐레이션; 연구데이터 관리; 데이터 품질; 연구데이터 재이용; 데이터 리포지토리,박석훈,한국문헌정보학회지,한국문헌정보학회,59,1,333,354,2025,문헌정보학,0,ART003176534
인공지능 기반 큐레이션 서비스 속성이 고객충성도와 이탈의도에 미치는 영향,문수지,"오늘날 OTT 플랫폼은 인공지능 기반 큐레이션 서비스를 중심으로 소비자들의 니즈(needs)와 선호도에 기반한 콘텐츠를 제공함으로써 전통적인 강자인 TV를 제치고 새로운 콘텐츠 강자로 등극하였다. 이에 본 연구에서는 소비자 관점에서 인공지능 기반 큐레이션 서비스의 속성을 살펴보고, 고객충성도와 이탈의도에 미치는 영향을 규명하였다. 그 결과, 인공지능 기반 큐레이션 서비스의 속성인 개인화, 서비스의 질, 그리고 가격은 모두 고객충성도에 정적 영향을 미쳤고, 고객충성도는 이탈의도를 효과적으로 낮추는 요인으로 밝혀졌다. 결과적으로 OTT가 고객의 이탈의도를 낮추기 위해서는 인공지능 기반 큐레이션 서비스를 통해 개인화와 서비스의 질을 강화하고, 합리적이고 적정한 수준의 가격 관련 요금제를 통해 고객충성도를 높이는 것이 중요할 것이다.",OTT 플랫폼; 개인화; 서비스의 질; 가격; 고객충성도; 이탈의도,문수지,한국전자통신학회 논문지,한국전자통신학회,20,01,67,78,2025,정보통신이론,0,ART003180548
온라인 쇼핑몰 제품 큐레이션 서비스 특성이 중국 소비자 행동 의도에 미치는 영향: 확장된 기술수용모형을 중심으로,남아영; 왕유,"본 연구는 온라인 쇼핑몰 제품 큐레이션 서비스의 특성이 소비자 행동 의도에 미치는 영향을 실증적으로 분석하였다. 구체적으로 개인 맞춤성, 우발적 발견, 정보 가시성, 정보의 적시 제공, 정보 선별의 전문성이 지각된 용이성과 지각된 유용성에 미치는 영향을 조사하고, 나아가 지각된 용이성과 유용성이 만족도와 프리미엄 가격 지불 의도, 지속 사용 의도, 지속 구매 의도에 미치는 영향을 검토하였다. 연구 결과, 온라인 쇼핑몰 제품 큐레이션 서비스 특성(개인 맞춤성, 우발적 발견, 정보 가시성, 정보의 적시 제공, 정보 선별의 전문성)이 지각된 용이성과 유용성에 유의미한 영향을 미쳤으며, 지각된 용이성과 지각된 유용성은 사용자 만족도에 긍정적인 영향을 주었다. 또한, 만족도는 소비자 행동의도(프리미엄 가격 지불 의도, 지속 사용 의도, 지속 구매 의도)에 긍정적인 영향을 미쳤으며, 특히 지속 사용 의도에 가장 강한 영향을 미친 것으로 나타났다. 마지막으로 소비자 혁신성은 만족도와 행동 의도 간 관계를 조절하는 역할을 하는 것으로 분석되었다. 이러한 연구 결과는 온라인 쇼핑몰 제품 큐레이션 서비스의 설계 및 운영 전략 수립에 실질적인 시사점을 제공하며, 확장된 기술수용모형의 적용을 통해 온라인 쇼핑 환경에서 소비자 행동을 설명하는 이론적 근거를 제시한다.",제품 큐레이션; 개인 맞춤성; 우발적 발견; 정보 가시성; 정보의 적시 제공; 정보 선별의 전문성,왕유,상품학연구,한국상품학회,43,2,95,106,2025,경영학,0,ART003201661
소형언어모델과 RAG기반의 군용 정비매뉴얼 큐레이션 시스템,권혁진; 남예린; 이영훈; 최종근; 최한선,"본 논문은 군용 정비 작업의 효율성과 정확성을 향상시키기 위한 On-Device Private 챗봇 서비스 개발을 목표로 한다. 현대자동차 정비 매뉴얼 코퍼스를 기반으로 소형언어모델(Small Language Model)을 LoRA 기법을 이용해 지속 사전 학습(Continual Pre-Training)하였으며, 이를 K1 구난전차 기술교범에도 적용하여 군사 장비에 대한 활용 가능성을 확인하였다. Ko-Gemma, Ko-LLaMA, Ko-Mistral 세 개의 소형언어모델을 대상으로 성능을 평가하고, 최고 성능 모델에 Retrieval-Augmented Generation (RAG) 기법을 결합하여 정보 제공 성능을 개선하였다. 개발된 모델은 군사 환경에서 완전히 On-Device로 작동하여 데이터 보안과 기밀성을 보장하며, 인터넷 연결이 제한된 작전 환경에서도 신속한 정비 지원이 가능하다. 실험 결과, RAG가 결합된 소형언어모델이 기본 모델보다 뛰어난 성능을 보이며, 실제 군 정비 작업에 적합한 솔루션임을 확인하였다. 본 연구는 특수한 군사 환경에서의 AI 기술 적용 중요성을 강조하며, 소형언어모델의 실제 효과를 입증한다.",소형언어모델; 온디바이스; RAG; 지속사전학습; LoRA; 사전학습언어모델; 도메인특화,남예린,인터넷정보학회논문지,한국인터넷정보학회,26,1,181,192,2025,컴퓨터학,0,ART003180463
콘텐츠 큐레이션의 부상과 문화매개의 플랫폼화: 푸드 콘텐츠 큐레이션 플랫폼 사례연구를 중심으로,김지현,"큐레이션 플랫폼의 등장으로 문화매개 영역이 기술적으로 재구조화되면서 플랫폼이 발휘하는 ‘큐레이팅 권력’(curatorial power)(Prey, 2020)에 대한 관심이 커지고 있다. 이에 본 연구는 <만개의 레시피>, <우리의 식탁> 모바일앱을 대상으로 이들이 요리 분야에서 무료로 제공하고 있는 콘텐츠 큐레이션 서비스를 부르디외 이후에 문화사회학 분야에서 활발하게 사용되어온 문화매개(cultural intermediation)(부르디외, [1979]2006) 개념으로 이해하는 한편, 질적연구를 통해 이러한 플랫폼을 통해 매개되는 요리 관련 정보, 지식 콘텐츠와 상거래 서비스가 한국의 소비문화에 가져온 변화를 논의하고자 했다. 이를 위해 플랫폼에서 전문가와 아마추어에 의해 생산되는 큐레이션 콘텐츠의 매개 및 수용 구조를 분석하고, 실제 사례들에 대한 텍스트 분석과 함께 모바일앱을 장기간 이용한 이용자들을 대상으로 한 심층면접 연구를 진행하였다. 요리 분야 문화매개 영역이 플랫폼이 제공하는 인프라 및 기술들에 의해 기술적으로 재구조화되는 과정을 행위자 측면에서 조명하고자 한 것으로, 큐레이션 플랫폼 이용에 대한 사례연구나 질적연구가 미미하게 이뤄지고 있는 상황에서 실제 플랫폼으로 집적되는 큐레이션 활동이 가져오는 문화매개 효과와 기능을 심층적·경험적으로 논의했다는 점에서 의의를 지닌다.",문화매개; 콘텐츠 큐레이션; 질적연구; 플랫폼화; 플랫폼,김지현,문화와 사회,한국문화사회학회,32,1,67,125,2024,문화/종교사회학,0,ART003077118
텍스트 마이닝을 활용한 국외 데이터 큐레이션 연구 동향 분석,최재은,"본 연구의 목적은 국외 데이터 큐레이션 연구 동향을 분석하는 것이다. 이를 위해 Scopus와 WoS에서 1,849건의 학술 정보를 추출하였으며 중복 제거 등을 통해 최종 1,797건의 논문, 학술대회 발표자료 등의 표제, 키워드, 초록을 분석 대상으로 하였다. 전처리를 거친 키워드를 빈도분석 하였으며, LDA 토픽 모델링 분석을 통해 주요 주제를 도출하고 토픽의 키워드를 대상으로 네트워크 분석을 통해 중심성을 도출하였다. 키워드 빈도 분석 결과, ‘research’, ‘information’ 등이 자주 등장했으며, 이는 데이터 큐레이션이 의학 연구, 생의학 연구 및 연구데이터 관리, 연구 인프라 등 다양한 측면에서 이루어지고 있음을 보여준다. LDA 토픽 모델링을 통해서는 ‘임상 의료 데이터의 품질 제고와 분석’, ‘빅데이터 관리와 처리 시스템의 효율성 향상’, ‘과학 데이터의 관리와 디지털 리포지터리’, ‘의료 및 생물학적 데이터의 주석과 모델링’, ‘유전자 및 단백질 데이터베이스 연구’ 5가지 토픽을 도출하였다. 키워드 네트워크 분석 결과, ‘analysis’는 전역 중심성에서 높은 수치를 나타내 데이터 활용 측면에서 분석 방법이나 분석 시스템 등으로 폭넓게 논의되고 있음을 알 수 있었고, 지역 중심성에서는 ‘research’, ‘gene’, ‘system’ 등이 상위에 위치한 것으로 나타났다.",,최재은,정보관리학회지,한국정보관리학회,41,3,85,107,2024,문헌정보학,1,ART003120521
체계적 문헌고찰을 통한 국내 디지털 큐레이션 연구동향 분석,박민석; 이지수,"본 연구는 국내 대표적인 학술정보데이터베이스에 등재된 디지털 큐레이션 분야 연구 동향을 파악하기 위해 수행되었다. 2009년부터 2023년까지 등재된 학술논문 총 39건을 대상으로 체계적 문헌고찰을 수행하여 발행연도에 따른 등재 현황과 발행지 및 학문분야, 연구 영역의 분포, 연구자 소속과 직업군 분포 및 연구 형태를 파악하였으며, 저자 키워드 69개를 대상으로 연결 중심성 분석과 응집그룹 분석을 수행하였다. 그 결과 첫째, 디지털 큐레이션 분야 연구는 2015년과 2016년에 5건씩 가장 많은 연구가 등재된 후 소폭 감소하다 2019년 이후 매년 4건 이상 등재되었다. 둘째, 39건 연구 중 25건의 연구가 문헌정보학을 포함한 복합학 분야에서 수행되고, 11건의 연구가 기타인문학을 포함한 인문학 분야에서 수행되으며, 연구 영역별로는 이론 및 인프라, 정보관리 및 서비스, 기관 영역 순으로 집계되었다. 셋째, 디지털 큐레이션 연구는 대학교 소속 교수와 연구자가 주도하며, 단독연구보다 공동연구가 많이 이루어졌다. 넷째, 저자 키워드 분석 결과 ‘디지털 큐레이션’, ‘기관’, ‘콘텐츠’가 전체 네트워크에 가장 큰 영향력을 미치는 중심 키워드로 나타났다.",,박민석,한국기록관리학회지,한국기록관리학회,24,2,41,63,2024,기록관리/보존,2,ART003084941
주제 중심 융합교양교육을 위한 큐레이션 기반 학습 모형 개발,한정규; 허혜연,"이 연구에서는 큐레이션 기반 학습 모형을 개발하고, 이를 학생들의 융합역량을 증진시키기 위한교양 교육적 도구로 활용하는 방안을 모색하였다. 연구 결과, 큐레이션 기반 학습 모형을 개발하였고이는 탐구하기, 정교화하기, 확장하기, 과정 포괄하기의 4단계로 구성되었으며, 각 단계별로 세부 활동을명확히 제시하였다. 전문가 검토 및 타당화 과정을 통해 모형의 적합성 및 유용성을 검증하였으며,최종적으로 개발된 모형은 교육 현장에서 실질적으로 적용 가능한 형태로 완성되었고, 학습전략 또한제시하였다. 이 모형을 교양 교육에 적용한다면, 교양 교육에서 학생들이 한 가지 주제에 대한 다각적시선, 디지털 도구의 활용과 가치에 대한 실천적 지식을 함양시킬 수 있다. 나아가 학생들에게는 낯설고예술의 영역으로 한정되었다는 인식이 있는 전시를 기획하는 경험은 학생들이 스스로 계획을 수립하고실행하며 평가하는 등 자기주도적으로 활동하고, 자신들의 아이디어를 실현하고 성과를 거두며 창조적자신감을 기를 수 있을 것으로 예상된다. 교양교육에서 다양한 주제 중심 학습, 다양한 교수학습 방법을활용하여 학생들이 급변하는 미래 사회에 능동적으로 대응할 수 있는 역량을 기를 수 있도록 해야할것이다.",주제 중심; 융합교양; 교양 교육; 큐레이션; 교양 학습 모형,허혜연,교양교육연구,한국교양교육학회,18,4,263,275,2024,학제간연구,0,ART003114689
학술 문헌 내 정의문을 통해 살펴본 디지털 큐레이션 개념 변화 분석,김현수; 오효정,"최근 디지털 전환 시대를 맞아 학계뿐 아니라 다양한 영역에서 디지털 큐레이션에 대한 논의가 활발히 진행되고 있다. 본 연구는 시간 흐름에 따른 디지털 큐레이션의 개념 변화를 분석하는 것을 주 목적으로, 특히 학술 문헌에서 저자가 직접 그 의미를 설명하거나 인용한 정의문을 중심으로 개념 구조를 파악하였다. 이를 위해 국내에서 디지털 큐레이션이란 용어가 처음 언급된 2009년부터 최근 2023년까지 출판된 학술 논문을 수집하고 관련 개념을 정리한 문장을 선별, 정의문의 용례 분석을 수행하였다. DMR 토픽 모델링과 워드 네트워크 분석 기법을 통해 주요 주제어들 간의 관계와 시간의 흐름에 따른 중요도 변화를 살펴보았으며, 주요 토픽을 중심으로 디지털 큐레이션의 개념도를 그려보았다. 그 결과 디지털 큐레이션의 개념은 ‘데이터 보존’, ‘전통적인 큐레이터 역할’, ‘상품 추천 큐레이션’ 주제가 중심축을 이루고 있고, 연구자마다 디지털 큐레이션을 활용하고자 하는 방향에 따라 ‘콘텐츠 유통 및 분류’, ‘정보 이용’, ‘큐레이션 모델’ 등으로 확장하여 정의하고 있었다. 본 연구는 디지털 큐레이션의 개념을 학술 연구자의 관점이 투영된 정의문에 기반해 분석했다는 데에 의의가 있으며, 연구 진행 시점에 따른 토픽의 증감 추세를 통해 연구자들이 주안점을 두는 개념의 변화를 구체적으로 파악하였다는 데에 의미가 있다.",,김현수,정보관리학회지,한국정보관리학회,41,3,269,288,2024,문헌정보학,0,ART003120619
큐레이션 시스템의 차별성 및 다양성과 소비자 만족도 사이의 관계에 대한 연구,고병완; 문원기,"추천시스템은 소비자가 선호할 것으로 예상되는 제품을 선별하여 추천해줌으로써, 소비자가 원하는제품을 보다 용이하게 찾을 수 있도록 도와주는 시스템을 말한다. 이커머스 기업들은 이러한추천시스템을 활용하여 추가적인 수익을 창출하는 것으로 알려져 있다. 그러나, 한편으로는 소비자가선호할 것으로 예상되는 제품을 얼마나 정확하게 예측하는가에 초점이 맞추어진 추천시스템은지속적으로 유사한 유형의 제품만을 추천하게 되고, 이로 인해 소비자들은 추천시스템의 추천에피로감을 느끼게 된다는 문제점이 지적되어 왔다. 이러한 문제점을 해결하기 위한 하나의 대안으로추천시스템의 추천에 큐레이터의 추천을 추가하는 큐레이션 시스템이 제안되었다. 큐레이션 시스템의추천은 반드시 소비자가 선호할 것으로 예상되는 제품만 추천에 포함하지 않는다는 점에서 전통적인추천시스템과 차이를 가진다. 본 논문은 이와 같이 소비자의 선호와는 다를 수 있는 제품을 함께추천하는 큐레이션 시스템의 추천에 대한 소비자의 만족도를 분석한다.",큐레이션 시스템; 추천시스템; 큐레이터; 커피 큐레이션,문원기,경영정보학연구,한국경영정보학회,26,4,45,61,2024,경영학,0,ART003142052
소셜 큐레이션 서비스의 사용자 경험 연구: 인스타그램의 해시태그 기능을 중심으로,안성은; 이캐시연주,"본 연구는 새롭게 주목받고 있는 소셜 큐레이션 서비스의 사용자 경험 개발 방향성을 제안하고자 실시되었다. 소셜 큐레이션 서비스는 기존 소셜 네트워크 서비스의 정보과부하, 낮은 필터링 수준 등으로 야기된 환경에서 사용자들의 기대와 니즈를 충족하기 위해 새롭게 제안된 서비스이다. 본 연구는 소셜 큐레이션 서비스의 현재 시스템을 분석하기 위해 나단 쉐드로프의 경험 디자인 모델을 기준으로 하여 연구 모델을 도출하고, 이를 기준으로 인스타그램 소셜 큐레이션 서비스 ‘해시태그’에 대한 평가 설문을 실시하였다. 연구 결과 사용자가 정보에 참여할 수 있는 ‘응답성’과 사용자 참여에 대한 결과인 ‘정보구조화’에서 낮은 만족도가 조사되었다. 현재 소셜 큐레이션 서비스가 고강도 큐레이션에더 근접해지기 위해서 정보 수집, 생산, 배포의 과정에서 사용자의 권한을 강화하는 방향으로 개선되어야 할 것이다. 본 연구가 소셜 큐레이션 서비스의 전략 수립과 개발과정에 사용자 경험에 대한 연구자료로써 기여하기를 기대한다.",소셜 큐레이션; 디지털 큐레이션; 필터링; 해시태그; SNS,안성은,차세대컨버전스정보서비스기술논문지,차세대컨버전스정보서비스학회,13,2,159,171,2024,학제간연구,1,ART003075417
디지털 큐레이션 플랫폼을 위한 신규 학술 콘텐츠 선정 지표 개발에 관한 연구,orcid 바로가기; 김재훈; 이강산다정; 이석형; 이혜진,"연구자의 다양한 학술 콘텐츠 수요에 대응하기 위해 학술정보 제공기관에서는 새로운 유형의 콘텐츠를 발굴하고 디지털 큐레이션 플랫폼을 통해 구축․관리하고 있다. 그러나, 제한된 예산 및 인력과 콘텐츠 관리 프로세스 복잡화 등의 이유로 이용자의 신규 콘텐츠 요구를 효율적으로 대응할 수 있는 기준이 필요하다. 본 연구에서는 디지털 전환 기술을 적용하여 학술 콘텐츠의 수집, 구축, 관리를 자동화하여 연구자의 연구활동에 필요한 다양한 콘텐츠를 지원하는 디지털 큐레이션 플랫폼을 위한 신규 콘텐츠 선정 지표를 개발하고 국내 대표 과학기술분야 학술정보 유통기관인 A기관의 디지털 큐레이션 플랫폼에 시범 적용하였다. 신규 콘텐츠 선정 지표는 콘텐츠의 가치, 이용자의 요구도 및 만족도, 콘텐츠 수집, 구축, 관리의 용이성과 효율성을 포함하고 있으며, 디지털 자원 라이프 사이클 단계 중 입수 및 선정 단계에서 활용 가능하다.",신규 콘텐츠 선정 지표; 디지털 자원 라이프사이클; 데이터 가치평가; 디지털 큐레이션 플랫폼,이석형,한국문헌정보학회지,한국문헌정보학회,58,3,193,216,2024,문헌정보학,0,ART003111616
"IT 기반 이커머스 시대, 무역사업자의 큐레이션 역할에 대한 연구",김태하; 박찬희; 위정현; 차훈상,"무역사업자는 중개형 플랫폼으로서 참가자들을 연결하여 가치를 만든다. 나아가 사업기회를 만들고 문제를 해결하는 역할을 수행함으로써 주도권을 확보한다. 네트워크로 연결된 경제, 특히 양면시장에 대한 연구들은 네트워크 효과와 교차네트워크 효과, 플랫폼의 형성과 진화의 관점에서 이를 설명한다. 이는 전자상거래의 발전과 함께 국제무역이 통합된 시스템으로 수행되어 무역사업자의 역할이 제약될 것이라는 비관적 전망에 대하여 다른 시각을 제공한다.
과거 종합무역상사와 달리 시장과 품목에 대한 더 높은 전문성이 요구되는 상황에서 무역사업자는 고유의 틈새를 찾아 사업을 만들어내는 능력이 필요하며, 관련 사업자들을 묶어내는 사업조성 능력이 요구된다. 동적역량과 창업적 지식의 개념은 이를 뒷받침한다. 필요한 정보의 폭과 깊이, 사업적 위험부담에 있어 차원이 다른 복합적 성격의 프로젝트에 있어 정보와 판단의 창으로서 ’혼란한 상태(messy-middle)‘에서 가닥을 잡아주는 무역사업자의 역할은 더욱 중요하다. 무역사업이 단순한 B2B 거래를 넘어서 최종소비자의 인식과 사회적 여론까지 살펴서 문제해결을 도와야 하는 경우 사업의 의미를 효과적으로 전달하여 신뢰를 얻는 노력도 필요하다.
본 연구는 문헌연구와 현장 인터뷰를 통해 중개형 플랫폼으로서 무역사업자의 고유의 역할을 살펴보고 사업기회 개발과 문제해결의 과정에서 얻은 심층적 정보를 바탕으로 참가자들의 정보탐색과 판단을 돕는 큐레이션 역할에 주목한다. 전문상사 제도를 두어 무역사업자의 전문성과 함께 중소기업에 대한 지원역할을 강조하는 정책방향 또한 이 맥락에서 살펴볼 수 있는데, 제도적 공백(institutional void)과 비시장전략(non-market strategy)에 대한 연구들은 중요한 시사점을 제공할 수 있다.",국제무역; 플랫폼; 큐레이션; 사업조성; 제도적 공백,박찬희,디지털무역리뷰,한국디지털무역연구소,22,4,47,69,2024,무역실무및무역경영,0,ART003143900
균형교양 영역 교과 ‘대학생의 성장을 위한 책과 영상 큐레이션’ 개발 연구,전종희,"본 연구의 목적은 균형교양 영역의 교과로서 ‘대학생의 성장을 위한 책과 영상 큐레이션’(안)을 개발하는 데 있다. 현 세대의 학생들은 시대가 인정하는 명서나 이를 영상화한 작품을 스스로 찾아서 읽기가 쉽지 않은 분주한 환경에서 생활을 하고 있다. 학생들은 그 필요를 알고 있지만 우선순위에서 밀리기 쉽고 또 무엇이 좋은 책이고 꼭 읽어야 하는 필독서인지 판단하고 가늠하는 것도 어렵다. 이러한 맥락에서 본 연구는 전인적인 측면에서 대학생들의 사고와 역량을 함양하도록 도울 수 있는 도서 및 영상 기반 교양 교과를 개발하는 것과 관련된다. 이를 위해 2023~2024년 중에 Google, Riss 등을 중심으로 스크린셀러 작품, 큐레이션과 교양 교과에서의 책, 영상 관련 학술지를 온라인에서 다각도로 조사하였다. 수집된 자료는 정리하여 관련 선행 연구와 연구 방법, 연구 결과에 반영하였다. 본 연구를 통해 대학생들이 함께 명서를 접하고 영상을 통해 그 메시지를 재확인하여 성찰하고 실천하는 힘을 기르는 시간을 가질 수 있을 것이다.",균형교양; 대학생; 성장; 책; 영상; 큐레이션,전종희,교양교육연구,한국교양교육학회,18,5,213,230,2024,학제간연구,0,ART003134712
“에듀-큐레이션(edu-curation)”의 개념에 기반한 전시 기획 프로젝트 개발 연구,강주희,"2015 개정 미술과 교육과정에 전시 기획 활동이 제시됨에 따라, 전문가의 영역이라고 여겨지던 전시 기획 과정에 대한 교육적 접근의 필요성이 본격적으로 대두되기 시작했다. 그러나 전시 기획 과정에 대한 교육적 자료와 연구가 부족하여 현장에서 전시 기획 수업을 진행하는데 어려움을 겪고 있다. 이에 본 연구에서는 전시 기획 프로젝트를 개발하고자 하였다. 이를 위해 전시 기획과 관련한 문헌 연구를 통해 박물관 교육의 환경 변화와 에듀-큐레이션의 개념을 탐색하고 전시 기획 관련 국내외 교육과정의 내용을 분석하여 전시 기획의 교육적 의미를 고찰하였다. 에듀-큐레이션은 “교육(education)”과 “큐레이션(curation)”의 합성어로 큐레이터 중심의 전통적인 전시 모델과 달리 에듀케이터를 비롯한 다양한 박물관의 구성원이 전시 과정에 참여하는 협력적 접근을 의미한다. 협력적 과정을 중시하는 에듀-큐레이션의 개념은 프로젝트 학습에 적용하기 용이하며 박물관 내 다양한 전문가들의 관점을 통합적으로 경험할 수 있다는 점에서 미술 관련 진로 탐색에도 도움이 된다. 에듀-큐레이션 개념에 기반한 전시 기획 프로젝트를 구조화하기 위해 예술 중심 프로젝트 기반 학습의 단계를 적용하였다. 본 연구는 박물관 교육의 환경과 전시 패러다임의 변화를 고려한 전시 기획 과정을 소개하고 이에 대한 교육적 접근을 시도하였다는데 의의가 있다.",박물관 교육(museum education); 전시(exhibition); 에듀큐레이션(edu-curation); 미술과 교육과정(art curriculum); 예술 프로젝트 기반 학습(arts project-based learning),강주희,미술과 교육,한국국제미술교육학회,25,1,157,177,2024,미술이론,4,ART003051252
